Ataque,Custo,Custo AP,Tipo,Estilo,Descrição,Aprimoramento,Motor,Ofensivo,Defensivo,Suporte,Utilitario,Code
Redemoinho,50,60,agua,alvo,"Causa (70% de SpA) como dano especial. Se o clima for Chuva, causa +20% de dano. Se o alvo estiver Encharcado, causa +20% de dano.",Causa (78% de SpA) como dano especial. Os bônus de Chuva e Encharcado sobem para +25% cada.,SpA,78,0,0,58,43
Gêiser,55,65,agua,alvo,"Causa (85% de SpA) como dano especial. Se for crítico, o alvo perde 15% de SpD.","Causa (95% de SpA) como dano especial. Se for crítico, o alvo perde 18% de SpD.",SpA/CrC,74,20,0,45,44
Pele Aquática,0,0,agua,passivo,"Quando o usuário está Encharcado, recupera por turno 5% da Vida perdida. Se o clima for Chuva, esse efeito também acontece, podendo dobrar.",A cura sobe para 6% da Vida perdida.,Nenhum,0,74,28,72,45
Mergulho,35,40,agua,ativa,"O usuário tem 50% de chance de ganhar Evasivo. Se for crítico, a chance sobe para 70%.","O usuário tem 60% de chance de ganhar Evasivo. Se for crítico, a chance sobe para 80%.",CrC,5,68,18,76,46
Dilúvio,80,95,agua,ativa,"Todos os aliados ganham 3 de Amp e 10 de Energia. Todos os inimigos perdem 10 de Energia e 3 de Amp. Muda o clima para Chuva. Se já estiver chovendo, dobra os efeitos deste ataque.","Os aliados ganham 4 de Amp e 12 de Energia. Os inimigos perdem 12 de Energia e 4 de Amp. Se já estiver chovendo, dobra os efeitos.",Nenhum,58,42,78,92,47
Tsunami,90,105,agua,ativa,"Causa (85% de SpA) como dano especial a todos os Pokémon. Quanto mais à esquerda da arena o Pokémon estiver, maior o dano, até +35%. Inimigos têm 35% de chance de ficar Encharcados.","Causa (95% de SpA) como dano especial. O bônus por estar à esquerda sobe para até +40%, e a chance de Encharcado sobe para 40%.",SpA,96,0,0,88,48
Martelo Caranguejo,50,60,agua,alvo,Causa (100% de Atk) como dano normal.,Causa (112% de Atk) como dano normal.,Atk,70,0,0,8,49
Golpe Abissal,55,65,agua,alvo,"Causa (75% de Atk) como dano normal e remove Provocando do alvo. Se o alvo estiver com menos de 40% da Vida, causa +35% de dano.","Causa (82% de Atk) como dano normal. Se o alvo estiver com menos de 40% da Vida, causa +45% de dano.",Atk,78,18,0,55,50
Nadador,0,0,agua,passivo,"Se o clima for Chuva, o usuário ganha +50% de Vel.","Se o clima for Chuva, o usuário ganha +55% de Vel.",Nenhum,18,12,8,78,51
Drenagem Hidrica,0,0,agua,passivo,"Quando o usuário causa dano em um alvo Encharcado, cura 30% do dano causado e recupera 20% da Energia gasta no ataque.",A cura sobe para 35% do dano causado e a recuperação sobe para 25% da Energia gasta.,Nenhum,42,72,28,78,52
Controle do Oceano,65,75,agua,alvo,Escolhe uma linha inimiga ou aliada. Os Pokémon do lado escolhido se alinham nessa linha.,"Depois de alinhar, aliados afetados ganham 5 de Energia e inimigos afetados perdem 5 de Energia.",Nenhum,10,30,58,96,53
Surfar,60,70,agua,alvo,"Causa (85% de SpA) como dano especial. Se o alvo atingido for nocauteado, o usuário recupera toda a Energia gasta neste ataque.","Causa (95% de SpA) como dano especial. Se nocautear o alvo, recupera toda a Energia gasta neste ataque.",SpA,80,12,0,68,54
Reservatório,0,0,agua,passivo,"Enquanto o clima for Chuva, o usuário não tem Energia Máxima. Por turno enquanto estiver chovendo, ganha 1 de Amp.","Enquanto o clima for Chuva, o usuário também ganha 5 de Energia por turno.",Nenhum,30,20,35,88,55
Correnteza,25,30,agua,ativa,O usuário ganha (20% de Mag) + (10% de Vel) em Vel.,O usuário ganha (22% de Mag) + (12% de Vel) em Vel.,Mag/Vel,20,20,25,60,56
Dança da Chuva,40,35,agua,ativa,Muda o clima para Chuva.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,25,20,60,88,57
Bola de Fogo,60,70,fogo,alvo,Causa (80% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (90% de SpA) como dano especial. O dano aos inimigos adjacentes permanece em 50% do dano causado.,SpA,76,0,0,60,58
Queimar,35,30,fogo,alvo,Aplica Queimado no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,48,20,0,45,59
Chama Interior,25,30,fogo,ativa,O usuário ganha (20% de Mag) + (10% de SpA) em SpA.,O usuário ganha (22% de Mag) + (12% de SpA) em SpA.,Mag/SpA,58,0,10,30,60
Foguinho,25,30,fogo,alvo,"Causa (35% de SpA) como dano especial. Para cada passo de Queimado no alvo, causa +4% de SpA, considerando no máximo 12 passos.","Causa (40% de SpA) como dano especial. Cada passo de Queimado aumenta em +5% de SpA, considerando no máximo 12 passos.",SpA,48,0,0,45,61
Investida Flamejante,50,60,fogo,alvo,"Causa (85% de Atk) como dano normal, aplica Queimado no usuário e no alvo, e o usuário recebe 20% do dano causado como dano de volta.",Causa (95% de Atk) como dano normal. O dano de volta cai para 15% do dano causado.,Atk,76,0,0,50,62
Incendiar,40,35,fogo,alvo,Transforma a área escolhida em Incendiada.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,35,20,45,88,63
Estouro Solar,55,65,fogo,alvo,"Causa (85% de SpA) como dano especial. Se o clima for Sol Forte, causa (115% de SpA).","Causa (95% de SpA) como dano especial. Se o clima for Sol Forte, causa (125% de SpA).",SpA,78,0,0,55,64
Aquecer,35,40,fogo,alvo,"Remove Encharcado e Congelado do alvo e do usuário. Para cada passo removido, cura o respectivo Pokémon em (3% de Mag), até 30% de Mag.","Para cada passo removido, cura em (4% de Mag), até 36% de Mag.",Mag,0,50,62,82,65
Labareda,45,50,fogo,alvo,"Causa (80% de SpA) como dano especial. Se for crítico, aplica Queimado no alvo.","Causa (90% de SpA) como dano especial. Se for crítico, aplica Queimado no alvo.",SpA/CrC,70,0,0,45,66
Ondas de Calor,75,85,fogo,ativa,"Causa (45% de SpA) como dano especial a todos os inimigos. Para cada passo total de Queimado em todos os Pokémon da partida, causa +2% de SpA, considerando no máximo 25 passos. Se o clima for Sol Forte, causa +20% de dano.","Causa (50% de SpA) como dano especial. O bônus por passo de Queimado sobe para +2,5% de SpA, considerando no máximo 25 passos.",SpA,90,0,0,82,67
Fluxo Infernal,90,105,fogo,alvo,O alvo perde 50% da Vida atual. Este ataque não pode ser crítico.,O alvo perde 55% da Vida atual. Este ataque não pode ser crítico.,Nenhum,94,0,0,62,68
Inferno,100,115,fogo,ativa,"Causa (70% de SpA) como dano especial a todos os Pokémon e aplica Queimado em todos eles, incluindo aliados e o usuário.",Causa (80% de SpA) como dano especial a todos os Pokémon e aplica Queimado em todos eles.,SpA,98,0,0,92,69
Laser de Fogo,70,80,fogo,alvo,"Causa (90% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque. Remove Congelado e Encharcado dos inimigos atingidos.","Causa (100% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,86,0,0,72,70
Ferver,35,40,fogo,alvo,"Causa (45% de SpA) como dano especial. Se o alvo estiver Queimado, este ataque não pode errar e causa dano extra equivalente a (35% de Mag).","Causa (50% de SpA) como dano especial. Se o alvo estiver Queimado, o dano extra sobe para (42% de Mag).",SpA/Mag,62,0,0,58,71
Superaquecer,50,60,fogo,alvo,"Dobra o número de passos de Queimado no alvo. Se for crítico, adiciona mais 2 passos extras de Queimado depois de dobrar.","Dobra o número de passos de Queimado no alvo. Se for crítico, adiciona mais 3 passos extras.",CrC,42,0,0,82,72
Queimadura Eterna,75,85,fogo,alvo,"Aplica Queimado permanente no alvo. Para ataques que escalam por passos de Queimado, esse efeito conta como 10 passos.","Aplica Queimado permanente no alvo. Para ataques que escalam por passos de Queimado, esse efeito conta como 12 passos.",Nenhum,70,20,0,90,73
Erupção,75,85,fogo,alvo,Causa (125% de SpA) como dano especial. Este ataque não pode ser crítico.,Causa (140% de SpA) como dano especial. Este ataque não pode ser crítico.,SpA,88,0,0,18,74
Explosão Ardente,65,75,fogo,alvo,"Causa (85% de SpA) como dano especial. Se nocautear o alvo, causa 60% do dano base a todos os inimigos adjacentes ao alvo.","Causa (95% de SpA) como dano especial. Se nocautear o alvo, causa 60% do dano base aos adjacentes.",SpA,84,0,0,70,75
Jato de Lava,70,80,fogo,alvo,Causa (75% de SpA) como dano especial em linha e transforma todas as áreas da linha em Incendiadas.,Causa (85% de SpA) como dano especial em linha e transforma todas as áreas da linha em Incendiadas.,SpA,82,0,0,92,76
Raio de Fogo,75,85,fogo,alvo,"Causa (100% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (110% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,84,0,0,55,77
Dança do Sol,40,35,fogo,ativa,Muda o clima para Sol Forte.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,45,15,60,88,78
Bola Eletrica,60,70,eletrico,alvo,Causa (80% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (90% de SpA) como dano especial. O dano aos inimigos adjacentes permanece em 50% do dano causado.,SpA,76,0,0,60,79
Energizar,45,40,eletrico,alvo,O alvo fica Energizado.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,10,60,72,80
Choque Duplo,55,65,eletrico,alvo,Escolhe até 2 áreas. Causa (70% de SpA) como dano especial em cada Pokémon atingido.,Causa (78% de SpA) como dano especial em cada Pokémon atingido.,SpA,78,0,0,70,81
Descarga Total,0,0,eletrico,alvo,Gasta toda a Energia atual do usuário. Causa (45% de SpA) + (120% da Energia gasta) como dano especial. Falha se o usuário não tiver Energia.,Gasta toda a Energia atual do usuário. Causa (50% de SpA) + (135% da Energia gasta) como dano especial.,SpA/Ene,94,0,0,72,82
Vampirismo Energético,45,55,eletrico,alvo,"Causa (45% de SpA) como dano especial e rouba 25% da Energia atual do alvo. Se for crítico, também rouba Energia extra equivalente a (15% de Vamp do usuário).","Causa (52% de SpA) como dano especial e rouba 30% da Energia atual do alvo. Se for crítico, a Energia extra sobe para (20% de Vamp do usuário).",SpA/Vamp,58,20,35,86,83
Eletrochoque,50,60,eletrico,alvo,"Causa (65% de SpA) como dano especial. Para cada vez que Eletrochoque já foi usado neste alvo, replica este ataque em uma área aleatória, causando 50% do dano base.",Causa (72% de SpA) como dano especial. As réplicas aleatórias causam 55% do dano base.,SpA,76,0,0,88,84
Curto,40,50,eletrico,alvo,Causa (55% de SpA) como dano especial e dano extra equivalente a 25% da Energia atual do alvo.,Causa (62% de SpA) como dano especial e dano extra equivalente a 30% da Energia atual do alvo.,SpA,66,0,0,62,85
Choque do Trovão,55,65,eletrico,alvo,"Causa (80% de SpA) como dano especial. Se for crítico, aplica Paralisado no alvo. Se o alvo estiver Encharcado, este ataque não pode errar e sempre é crítico.","Causa (90% de SpA) como dano especial. Se for crítico, aplica Paralisado no alvo. Se o alvo estiver Encharcado, este ataque não pode errar e sempre é crítico.",SpA/CrC,84,0,0,78,86
Ultra Raio Aleatório,75,85,eletrico,alvo,"Escolhe uma área aleatória da arena e causa (135% de SpA) como dano especial no Pokémon atingido. Se a área estiver vazia, o ataque não causa dano.","Escolhe uma área aleatória da arena e causa (150% de SpA) como dano especial no Pokémon atingido. Se a área estiver vazia, o ataque não causa dano.",SpA,88,0,0,95,87
Amplificar,40,45,eletrico,ativa,O usuário ganha (25% de Mag) em Amp.,O usuário ganha (30% de Mag) em Amp.,Mag,62,0,10,30,88
Dança Elétrica,55,50,eletrico,ativa,Muda o clima para Tempestade Elétrica.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,40,10,65,90,89
Barragem Energetica,40,45,eletrico,alvo,O alvo ganha uma barreira equivalente a (18% de Mag) + (12% de Ene).,A barreira sobe para (20% de Mag) + (14% de Ene).,Mag/Ene,0,64,60,25,90
Raizes,50,45,planta,alvo,Aplica Enraizado no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,25,35,15,80,91
Casco Vivo,35,40,planta,ativa,O usuário ganha (25% de Mag) em Dur.,O usuário ganha (30% de Mag) em Dur.,Mag,0,62,15,25,92
Chicote de Vinhas,40,45,planta,alvo,Causa (75% de Atk) como dano normal. Este ataque recebe +20 pontos de CrC.,Causa (85% de Atk) como dano normal. Este ataque recebe +25 pontos de CrC.,Atk/CrC,66,0,0,35,93
Síntese,25,30,planta,ativa,"Recupera Energia equivalente a 180% da Ene gasta neste ataque. Se o clima for Sol Forte, recupera 300% da Ene gasta neste ataque.","Recupera 220% da Ene gasta neste ataque. Se o clima for Sol Forte, recupera 330%.",Ene,0,20,50,82,94
Trevo da Sorte,35,40,planta,ativa,O usuário ganha (20% de Mag) em CrC.,O usuário ganha (25% de Mag) em CrC.,Mag,52,0,10,30,95
Dreno,40,50,planta,alvo,Causa (65% de SpA) como dano especial e cura o usuário em (35% de SpA).,Causa (72% de SpA) como dano especial e cura o usuário em (42% de SpA).,SpA,62,45,20,35,96
Seiva Misteriosa,45,55,planta,alvo,"Causa (75% de SpA) como dano especial. Se o alvo estiver Envenenado ou Intoxicado, causa +35% de dano.","Causa (82% de SpA) como dano especial. Se o alvo estiver Envenenado ou Intoxicado, causa +45% de dano.",SpA,72,0,0,48,97
Tiro de Semente,35,40,planta,alvo,Causa (75% de Atk) como dano normal e remove Regeneração do alvo.,Causa (85% de Atk) como dano normal e remove Regeneração do alvo.,Atk,60,8,0,55,98
Absorver,50,60,planta,alvo,Causa (35% de SpA) como dano especial e rouba 1 efeito positivo aleatório do alvo.,Causa (45% de SpA) como dano especial e rouba 1 efeito positivo aleatório do alvo.,SpA,45,35,45,92,99
Folha Navalha,65,75,planta,alvo,"Causa (80% de Atk) como dano normal em linha. Após atingir um Pokémon, o dano no próximo alvo vira uma porcentagem do dano base equivalente a 50% da Per do usuário, limitada entre 20% e 80%.","Causa (88% de Atk) como dano normal em linha. A porcentagem do próximo alvo passa a ser 60% da Per do usuário, limitada entre 25% e 90%.",Atk/Per,84,0,0,75,100
Flecha de Madeira,60,70,planta,alvo,"Causa (70% de Atk) como dano normal na linha do usuário. O dano aumenta em +5% de Atk para cada área entre o usuário e o alvo, até +40% de Atk. Só atravessa inimigos se for crítico; ao atravessar, o dano base dos próximos alvos reduz 40%.","Causa (78% de Atk) como dano normal. O bônus por área sobe para +6% de Atk, até +48%, e a redução ao atravessar cai para 35%.",Atk/CrC,84,0,0,70,101
Crescimento,45,55,planta,ativa,"O usuário ganha +4% em 3 atributos regulares aleatórios. Se o clima for Sol Forte, ganha +5% em 4 atributos regulares aleatórios.","O usuário ganha +5% em 3 atributos regulares aleatórios. Se o clima for Sol Forte, ganha +6% em 4 atributos regulares aleatórios.",Nenhum,45,45,50,72,102
Dança das Pétalas,50,60,planta,ativa,O usuário e todos os aliados adjacentes ganham (18% de Mag) em Vel.,O usuário e todos os aliados adjacentes ganham (22% de Mag) em Vel.,Mag,20,15,75,72,103
Tornado de Folhas,60,70,planta,alvo,Causa (65% de SpA) como dano especial em linha. Todos os atingidos perdem (10% da Vel do alvo) + (10% da Mag do usuário) em Vel. Este ataque nunca erra.,Causa (72% de SpA) como dano especial em linha. A perda de Vel sobe para (12% da Vel do alvo) + (12% da Mag do usuário). Este ataque nunca erra.,SpA/Mag,72,25,20,88,104
Bomba de Sementes,65,75,planta,alvo,"Escolhe 2 áreas. Em cada área, causa (75% de Atk) como dano normal e causa 25% do dano causado a inimigos adjacentes.",Causa (82% de Atk) como dano normal em cada área e causa 30% do dano causado a inimigos adjacentes.,Atk,86,0,0,82,105
Flor Mágica,65,75,planta,alvo,"Causa (50% de SpA) + (50% de Mag) como dano especial. Depois, o usuário ganha (6% de Mag) em SpA e (6% de SpA) em Mag.","Causa (55% de SpA) + (55% de Mag) como dano especial. Depois, o usuário ganha (8% de Mag) em SpA e (8% de SpA) em Mag.",SpA/Mag,75,18,50,70,106
Murchar,35,40,planta,alvo,O inimigo perde (6% da Vida Máxima do alvo) + (8% da Mag do usuário) em Vida Máxima.,O inimigo perde (7% da Vida Máxima do alvo) + (10% da Mag do usuário) em Vida Máxima.,Mag,55,15,0,45,107
Raio Solar,80,90,planta,alvo,"Causa (100% de SpA) como dano especial em linha. Se o clima for Sol Forte, causa (125% de SpA). Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (110% de SpA) como dano especial em linha. Se o clima for Sol Forte, causa (135% de SpA). Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,90,0,0,60,108
Névoa Fria,25,30,gelo,alvo,O inimigo perde (10% de SpA do alvo) + (10% da Mag do usuário) em SpA.,O inimigo perde (12% de SpA do alvo) + (10% da Mag do usuário) em SpA.,Mag,5,58,40,40,109
Cristalizar,35,40,gelo,alvo,"Se o alvo estiver Encharcado, remove Encharcado e aplica Congelado. Se o alvo não estiver Encharcado, causa (45% de SpA) como dano especial.","Se o alvo estiver Encharcado, também causa (35% de SpA) como dano especial ao aplicar Congelado.",SpA,42,35,10,78,110
Gelinho,15,20,gelo,alvo,Tem 50% de chance de errar. Causa (65% de SpA) como dano especial. Ganha +25 pontos de chance de acerto se o alvo estiver Congelado ou se o clima for Nevasca.,Causa (75% de SpA) como dano especial. Ganha +30 pontos de chance de acerto se o alvo estiver Congelado ou se o clima for Nevasca.,SpA,44,0,0,55,111
Olhar Frio,35,40,gelo,alvo,O alvo perde 15% do seu maior atributo regular.,O alvo perde 18% do seu maior atributo regular.,Nenhum,8,58,35,68,112
Congelamento Tático,45,55,gelo,alvo,Escolhe o usuário ou um aliado. O alvo recebe Congelado e Regeneração.,"Escolhe o usuário ou um aliado. O alvo recebe Congelado, Regeneração e uma barreira equivalente a (20% de Mag).",Mag,0,72,82,70,113
Gelo Verdadeiro,65,75,gelo,alvo,Causa (80% de SpA) como dano especial e ignora Def e SpD do alvo.,Causa (90% de SpA) como dano especial e ignora Def e SpD do alvo.,SpA,86,0,0,62,114
